expression,sentence
"L[i, j] = 0 if i = 0 or j = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"L[i, j] = L[i-1, j-1] + 1 if A[i] == B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L[i, j] = max(L[i-1, j], L[i, j-1]) if A[i] != B[j]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"T[x, y] = 1 if x = 0 or y = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 1."
"T[x, y] = T[x-1, y-1] * 2 if X[x] == Y[y]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 2 times the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"T[x, y] = max(T[x-1, y], T[x, y-1]) if X[x] != Y[y]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"G[i, j] = i + j if i > 0 and j > 0","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is the sum of the first-dimensional variable and the second-dimensional variable."
"G[i, j] = 0 if i = 0 or j = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"D[a, b] = min(D[a-1, b], D[a, b-1]) + 1 if a > 0 and b > 0","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is 1 more than the smaller of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"D[a, b] = 0 if a = 0 or b = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"F[m, n] = F[m-1, n-1] + 5 if M[m] == N[n]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 5 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"F[m, n] = max(F[m-1, n], F[m, n-1]) if M[m] != N[n]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"K[p, q] = K[p-1, q] + K[p, q-1] if p > 0 and q > 0","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is the sum of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"K[p, q] = 1 if p = 0 or q = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 1."
"S[u, v] = S[u-1, v-1] + 3 if U[u] == V[v]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 3 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"S[u, v] = max(S[u-1, v], S[u, v-1]) if U[u] != V[v]","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"L[i, j] = L[i-1, j-1] + 1 & if i = j","If the first-dimensional variable is equal to the second-dimensional variable, the value is 1 more than the value at the position where the first-dimensional variable is 1 less and the second-dimensional variable is 1 less."
"L[i, j] = max(L[i-1, j], L[i, j-1]) & if i != j","If the first-dimensional variable is not equal to the second-dimensional variable, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"T[x, y] = T[x-1, y-1] * 2 & if x = y","If the first-dimensional variable is equal to the second-dimensional variable, the value is 2 times the value at the position where the first-dimensional variable is 1 less and the second-dimensional variable is 1 less."
"T[x, y] = max(T[x-1, y], T[x, y-1]) & if x != y","If the first-dimensional variable is not equal to the second-dimensional variable, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"D[a, b] = min(D[a-1, b], D[a, b-1]) + 1 & if a > 0 and b > 0","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is 1 more than the smaller of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"D[a, b] = 0 & if a = 0 or b = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
"F[m, n] = F[m-1, n-1] + 5 & if m = n","If the first-dimensional variable is equal to the second-dimensional variable, the value is 5 more than the value at the position where the first-dimensional variable is 1 less and the second-dimensional variable is 1 less."
"F[m, n] = max(F[m-1, n], F[m, n-1]) & if m != n","If the first-dimensional variable is not equal to the second-dimensional variable, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"K[p, q] = K[p-1, q] + K[p, q-1] & if p > 0 and q > 0","If the first-dimensional variable and the second-dimensional variable are both greater than 0, the value is the sum of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"S[u, v] = S[u-1, v-1] + 3 & if u = v","If the first-dimensional variable is equal to the second-dimensional variable, the value is 3 more than the value at the position where the first-dimensional variable is 1 less and the second-dimensional variable is 1 less."
"L(i, j) = 0 if i == 0 or j == 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 0."
L[i][j] = L[i-1][j-1] + 1 if A[i] == B[j],"If the items corresponding to the first-dimensional variable and the second-dimensional variable are equal, the value is 1 more than the value at the position where both the first-dimensional variable and the second-dimensional variable are 1 less."
"L(i, j) = max(L(i-1, j), L(i, j-1)) if A(i) != B(j)","If the items corresponding to the first-dimensional variable and the second-dimensional variable are not equal, the value is the larger of the values at the position where the first-dimensional variable is 1 less or the second-dimensional variable is 1 less."
"T{x, y} = 1 if x = 0 or y = 0","If the first-dimensional variable is 0 or the second-dimensional variable is 0, the value is 1."
